district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,pdf_page,pdf_sequence,unit_district,source_subdistrict_pdf,polling_unit_no,moo,polling_place_pdf,registered_voters_66,province,registrar,latlong_subdistrict,latlong_location,latitude,longitude,electorate,latlong_row_id,latlong_match_method,latlong_match_score,coordinate_reused_count,merge_key_subdistrict_unit,latlong_merge_status,latlong_result_match_method
ศรีนครินทร์,ชุมพล,4,constituency,election_day,402,387,15,0,178,0,54,134,18,2,1,7,497,ศรีนครินทร์,ชุมพล(เทศบาล),5,4,ศาลาประจ าหมู่บ้านบ้านห้วยไทร,459,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาประจำหมู่บ้านบ้านห้วยไทร,7.615725099999999,99.9576849,2,231,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|4,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,5,constituency,election_day,493,461,11,21,212,0,61,146,35,1,6,8,498,ศรีนครินทร์,ชุมพล(เทศบาล),6,5,ศาลาประจ าหมู่บ้านบ้านหนองหาญ (หนองโหล๊ะ),617,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาประจำหมู่บ้านบ้านหนองหาญ (หนองโหล๊ะ),7.6050041,99.9493424,2,232,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|5,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,6,constituency,election_day,274,255,6,13,130,0,26,80,18,0,1,8,499,ศรีนครินทร์,ชุมพล(เทศบาล),7,6,ศาลาอเนกประสงค์บ้านทุ่งยวน,319,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาอเนกประสงค์บ้านทุ่งยวน,7.6050041,99.9493424,2,233,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|6,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,7,constituency,election_day,637,609,10,18,229,1,65,246,66,0,2,8,500,ศรีนครินทร์,ชุมพล(เทศบาล),8,7,ศาลาประจ าหมู่บ้านบ้านควนดินสอ,804,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาประจำหมู่บ้านบ้านควนดินสอ,7.6050041,99.9493424,2,234,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|7,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,8,constituency,election_day,290,277,8,5,132,1,33,100,10,0,1,8,501,ศรีนครินทร์,ชุมพล(เทศบาล),9,8,ศาลาอเนกประสงค์บ้านสวนโหนด,346,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาอเนกประสงค์บ้านสวนโหนด,7.650070299999999,99.9772486,2,235,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|8,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,9,constituency,election_day,349,340,7,2,207,0,9,112,11,1,0,8,502,ศรีนครินทร์,ชุมพล(เทศบาล),10,9,ศาลาประจ าหมู่บ้านบ้านหนองหว้า,401,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาประจำหมู่บ้านบ้านหนองหว้า,17.0245089,102.9780981,2,236,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|9,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,10,constituency,election_day,547,519,12,16,228,3,43,210,30,3,2,8,503,ศรีนครินทร์,ชุมพล(เทศบาล),11,10,ศาลาประจ าหมู่บ้านบ้านล ากะ,650,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาประจำหมู่บ้านบ้านลำกะ,7.6050041,99.9493424,2,237,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|10,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,11,constituency,election_day,244,233,5,6,151,1,19,48,13,0,1,8,504,ศรีนครินทร์,ชุมพล(เทศบาล),12,11,ศาลาประจ าหมู่บ้านบ้านต้นธง,297,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาประจำหมู่บ้านบ้านต้นธง,7.6050041,99.9493424,2,238,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|11,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,12,constituency,election_day,254,245,1,8,159,0,44,30,11,0,1,8,505,ศรีนครินทร์,ชุมพล(เทศบาล),13,12,ศาลาประจ าหมู่บ้านบ้านนารา,300,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาประจำหมู่บ้านบ้านนารา,7.615725099999999,99.9576849,2,239,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|12,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,13,constituency,election_day,275,260,9,6,135,0,17,96,10,0,2,8,506,ศรีนครินทร์,ชุมพล(เทศบาล),14,13,ศาลาประจ าหมู่บ้านบ้านหนองโหรง,335,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาประจำหมู่บ้านบ้านหนองโหรง,7.615725099999999,99.9576849,2,240,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|13,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,14,constituency,election_day,247,239,2,6,126,1,20,82,10,0,0,8,507,ศรีนครินทร์,ชุมพล(เทศบาล),15,14,ศาลาประจ าหมู่บ้านบ้านชุมทอง,287,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาประจำหมู่บ้านบ้านชุมทอง,7.6050041,99.9493424,2,241,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|14,matched,fallback_unique_subdistrict_key
ควนขนุน,ดอนทราย,0,constituency,election_day,206,205,1,0,26,0,2,172,4,0,1,3,325,ควนขนุน,ดอนทราย,1,1,ศาลาประจ าหมู่บ้านบ้านเขากอย,254,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านเขากอย,7.7173634,99.9632741,2,80,location_exact_normalized,1.0,1,ดอนทราย|0,matched,exact_key
