district,subdistrict,unit_index,form_type,vote_phase,latitude,longitude,latlong_location,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,candidate_or_party,votes,vote_share
ควนขนุน,ดอนทราย,5,constituency,election_day,7.722331100000001,99.9800438,ศาลาประจำหมู่บ้านบ้านเกาะทอง,284,272,5,7,นิติศักดิ์ ธรรมเพชร,29,0.10661764705882353
ควนขนุน,ดอนทราย,6,constituency,election_day,7.7186105,99.9665503,ศาลาประจำหมู่บ้านบ้านควนดินแดง,528,519,5,4,นิติศักดิ์ ธรรมเพชร,44,0.08477842003853564
ควนขนุน,ดอนทราย,7,constituency,election_day,7.7290582,99.9418062,ศาลาประจำหมู่บ้านบ้านจันนา,262,251,6,5,นิติศักดิ์ ธรรมเพชร,39,0.1553784860557769
ควนขนุน,ดอนทราย,8,constituency,election_day,7.706008700000001,99.9771524,ศาลาประจำหมู่บ้านบ้านไสอ้อย,586,566,7,13,นิติศักดิ์ ธรรมเพชร,106,0.1872791519434629
ควนขนุน,ดอนทราย,9,constituency,election_day,7.7714851,100.0555474,ศาลาประจำหมู่บ้านบ้านไสโพธิ์,379,369,3,7,นิติศักดิ์ ธรรมเพชร,58,0.15718157181571815
ควนขนุน,ดอนทราย,10,constituency,election_day,7.7290582,99.9418062,ศาลาประจำหมู่บ้านบ้านจันนาตก,264,257,5,2,นิติศักดิ์ ธรรมเพชร,57,0.22178988326848248
ศรีบรรพต,ตะแพน,0,constituency,election_day,7.6514478,99.9629591,ศาลาประจำหมู่บ้าน บ้านสวนโหนด หมู่ที่ 1,340,335,2,3,นิติศักดิ์ ธรรมเพชร,136,0.4059701492537313
ศรีบรรพต,ตะแพน,1,constituency,election_day,7.6554624,99.8766586,โรงอาหารโรงเรียนวัดตะแพน,603,583,16,4,นิติศักดิ์ ธรรมเพชร,147,0.2521440823327616
ศรีบรรพต,ตะแพน,2,constituency,election_day,7.639195399999998,99.8683073,ศาลาประจำหมู่บ้าน บ้านวังยาว หมู่ที่ 3,335,326,2,7,นิติศักดิ์ ธรรมเพชร,145,0.4447852760736196
ศรีบรรพต,ตะแพน,3,constituency,election_day,7.6452374,99.8090063,ศาลาประจำหมู่บ้าน บ้านห้วยครก หมู่ที่ 4,144,142,2,0,นิติศักดิ์ ธรรมเพชร,62,0.43661971830985913
ศรีบรรพต,ตะแพน,4,constituency,election_day,7.618795599999999,99.8236533,ศาลาประจำหมู่บ้าน บ้านท่ายูง หมู่ที่ 5,549,531,10,8,นิติศักดิ์ ธรรมเพชร,199,0.3747645951035782
ศรีบรรพต,ตะแพน,5,constituency,election_day,7.6508473,99.9437136,ศาลาประจำหมู่บ้าน บ้านหน้าควน หมู่ที่ 6,376,369,4,3,นิติศักดิ์ ธรรมเพชร,128,0.34688346883468835
ศรีบรรพต,ตะแพน,6,constituency,election_day,7.6497788,99.9285556,โรงอาหารโรงเรียนบ้านหัสคุณ,614,602,4,8,นิติศักดิ์ ธรรมเพชร,238,0.3953488372093023
ศรีบรรพต,ตะแพน,7,constituency,election_day,7.6775386,99.8988081,สำนักสงฆ์บ้านท่าข้าม,343,335,5,3,นิติศักดิ์ ธรรมเพชร,121,0.3611940298507463
ศรีบรรพต,ตะแพน,8,constituency,election_day,7.6514478,99.9629591,อาคารโรงเรียนบ้านสวนโหนด,339,324,6,9,นิติศักดิ์ ธรรมเพชร,109,0.33641975308641975
ควนขนุน,ทะเลน้อย,0,constituency,election_day,7.7777536,100.1167953,ศาลาประจำหมู่บ้านบ้านทะเลน้อย,614,584,21,9,นิติศักดิ์ ธรรมเพชร,239,0.4092465753424658
ควนขนุน,ทะเลน้อย,1,constituency,election_day,7.782416400000001,100.1591213,ศาลากลางบ้านหัวเลี้ยว,330,319,3,8,นิติศักดิ์ ธรรมเพชร,95,0.29780564263322884
ควนขนุน,ทะเลน้อย,2,constituency,election_day,7.7872498,100.1162419,ศาลาทวดวิรุฬเจ้าแม่อุบล,341,329,6,6,นิติศักดิ์ ธรรมเพชร,123,0.3738601823708207
ควนขนุน,ทะเลน้อย,3,constituency,election_day,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านบนออก,377,363,13,1,นิติศักดิ์ ธรรมเพชร,69,0.19008264462809918
ควนขนุน,ทะเลน้อย,4,constituency,election_day,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านปลายตรอก,508,491,12,5,นิติศักดิ์ ธรรมเพชร,211,0.42973523421588594
ควนขนุน,ทะเลน้อย,5,constituency,election_day,7.814868300000001,100.1479182,ศาลาประจำหมู่บ้านบ้านโคกศักดิ์,296,278,6,12,นิติศักดิ์ ธรรมเพชร,91,0.3273381294964029
ควนขนุน,ทะเลน้อย,6,constituency,election_day,7.876837900000001,100.0242995,ศูนย์ศิลปาชีพบ้านหัวป่าเขียว,337,327,6,4,นิติศักดิ์ ธรรมเพชร,77,0.23547400611620795
ควนขนุน,ทะเลน้อย,7,constituency,election_day,7.814868300000001,100.1479182,ศาลาประจำหมู่บ้านบ้านโคกเมา,456,433,10,13,นิติศักดิ์ ธรรมเพชร,107,0.2471131639722864
ควนขนุน,ทะเลน้อย,8,constituency,election_day,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านบนตก,408,393,5,10,นิติศักดิ์ ธรรมเพชร,121,0.30788804071246817
ควนขนุน,ทะเลน้อย,9,constituency,election_day,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านบนกลาง,387,374,12,1,นิติศักดิ์ ธรรมเพชร,98,0.2620320855614973
ควนขนุน,นาขยาด,0,constituency,election_day,7.679982700000001,99.9576849,ศาลาประจำหมู่บ้านบ้านศาลาต้นรักษ์,681,653,13,15,นิติศักดิ์ ธรรมเพชร,178,0.2725880551301684
ควนขนุน,นาขยาด,1,constituency,election_day,7.670382399999999,99.9823069,ศาลาประจำหมู่บ้านบ้านพังดาน,656,625,9,22,นิติศักดิ์ ธรรมเพชร,130,0.208
ควนขนุน,นาขยาด,2,constituency,election_day,7.685908899999999,99.9794414,ศาลาประจำหมู่บ้านบ้านเกาะยาง,326,316,3,7,นิติศักดิ์ ธรรมเพชร,49,0.1550632911392405
ควนขนุน,นาขยาด,3,constituency,election_day,7.679982700000001,99.9576849,ศาลาประจำหมู่บ้านบ้านหนองในวัง,380,357,9,14,นิติศักดิ์ ธรรมเพชร,62,0.17366946778711484
ควนขนุน,นาขยาด,4,constituency,election_day,7.591457699999999,100.0019597,ศาลาประจำหมู่บ้านบ้านนาท่อม,471,434,14,23,นิติศักดิ์ ธรรมเพชร,115,0.26497695852534564
ควนขนุน,นาขยาด,5,constituency,election_day,7.668115999999999,99.955747,ศาลาประจำหมู่บ้านบ้านขันหมู่,628,591,18,19,นิติศักดิ์ ธรรมเพชร,168,0.28426395939086296
ควนขนุน,นาขยาด,6,constituency,election_day,7.6901421,99.9402381,ศาลาประจำหมู่บ้านบ้านสะพานข่อย,387,371,9,7,นิติศักดิ์ ธรรมเพชร,201,0.5417789757412399
ควนขนุน,นาขยาด,7,constituency,election_day,7.707698400000001,99.9269198,ศาลาประจำหมู่บ้านบ้านโงกน้ำ,393,376,5,12,นิติศักดิ์ ธรรมเพชร,58,0.15425531914893617
ควนขนุน,นาขยาด,8,constituency,election_day,7.679982700000001,99.9576849,ศาลาประจำหมู่บ้านบ้านทุ่งสำโรง,416,399,4,13,นิติศักดิ์ ธรรมเพชร,114,0.2857142857142857
ควนขนุน,นาขยาด,9,constituency,election_day,7.679982700000001,99.9576849,ศาลาประจำหมู่บ้านบ้านโรงรม,366,345,14,7,นิติศักดิ์ ธรรมเพชร,92,0.26666666666666666
ควนขนุน,นาขยาด,10,constituency,election_day,7.679982700000001,99.9576849,ศาลาประจำหมู่บ้านบ้านไสควายฟัน,404,379,10,15,นิติศักดิ์ ธรรมเพชร,97,0.2559366754617414
ควนขนุน,นาขยาด,11,constituency,election_day,7.679982700000001,99.9576849,ศาลาประจำหมู่บ้านบ้านเขาวังทอง,456,443,5,8,นิติศักดิ์ ธรรมเพชร,129,0.291196388261851
ศรีนครินทร์,บ้านนา,0,constituency,election_day,7.586495599999999,99.8579768,ศาลาอเนกประสงค์ ร.ร.บ้านนาวง,619,582,23,14,นิติศักดิ์ ธรรมเพชร,189,0.3247422680412371
ศรีนครินทร์,บ้านนา,1,constituency,election_day,7.55964,99.885151,ศาลาประจำหมู่บ้านบ้านลำใน,185,182,2,1,นิติศักดิ์ ธรรมเพชร,58,0.31868131868131866
ศรีนครินทร์,บ้านนา,2,constituency,election_day,7.562269,99.9131441,ศาลาการเปรียญวัดบ้านนา,501,482,12,7,นิติศักดิ์ ธรรมเพชร,152,0.3153526970954357
ศรีนครินทร์,บ้านนา,3,constituency,election_day,7.5640073,99.8794744,ศูนย์ส่งเสริมสุขภาพราษฎร,439,422,14,3,นิติศักดิ์ ธรรมเพชร,135,0.31990521327014215
