pdf_page,pdf_sequence,polling_unit_no,district,source_subdistrict_pdf,moo,polling_place_pdf,registered_voters_66
5,400,11,ป่าพะยอม,เกาะเต่า,9,ศาลาประจ าหมู่บ้านบ้านควนตะแบก,737
5,401,12,ป่าพะยอม,เกาะเต่า,10,ศาลาประจ าหมู่บ้านบ้านห้วยปริง,854
5,402,13,ป่าพะยอม,เกาะเต่า,11,ศาลาประจ าหมู่บ้านบ้านเกาะยวน,585
5,403,14,ป่าพะยอม,เกาะเต่า,12,ศาลาประจ าหมู่บ้านบ้านห้วยไม้ไผ่,705
5,404,15,ป่าพะยอม,เกาะเต่า,13,ศาลาประจ าหมู่บ้านบ้านนา,943
5,405,1,ป่าพะยอม,ป่าพะยอม,1,ศาลาประจ าหมู่บ้านบ้านสังแกระ,617
5,406,2,ป่าพะยอม,ป่าพะยอม,2,ศาลาประจ าหมู่บ้านบ้านป่าพะยอม,418
5,407,3,ป่าพะยอม,ป่าพะยอม,2,โรงเรียนอนุบาลป่าพะยอม,532
5,408,4,ป่าพะยอม,ป่าพะยอม,3,ศาลาประจ าหมู่บ้านบ้านทุ่ง,691
5,409,5,ป่าพะยอม,ป่าพะยอม,4,ศาลาประจ าหมู่บ้านบ้านประดู่หอม,505
5,410,6,ป่าพะยอม,ป่าพะยอม,5,ศาลาประจ าหมู่บ้านบ้านนาทราย,705
5,411,7,ป่าพะยอม,ป่าพะยอม,6,ศาลาประจ าหมู่บ้านบ้านโคกกอ,619
5,412,8,ป่าพะยอม,ป่าพะยอม,7,ศาลาประจ าหมู่บ้านบ้านไสกุน,743
5,413,1,ป่าพะยอม,บ้านพร้าว,1,เต้นท์บริเวณตลาดใหม่ป่าพะยอม,564
5,414,2,ป่าพะยอม,บ้านพร้าว,1,ศาลาประจ าหมู่บ้านบ้านพร้าว,553
5,415,3,ป่าพะยอม,บ้านพร้าว,2,ศาลาประจ าหมู่บ้านบ้านตลิ่งชัน,727
5,416,4,ป่าพะยอม,บ้านพร้าว,3,ศาลาประจ าหมู่บ้านบ้านศาลาน ้า,802
5,417,5,ป่าพะยอม,บ้านพร้าว,4,ศาลาประจ าหมู่บ้านบ้านบ่อทราย,419
5,418,6,ป่าพะยอม,บ้านพร้าว,5,ศาลาประจ าหมู่บ้านบ้านไสอ้อ,313
5,419,7,ป่าพะยอม,บ้านพร้าว,6,ศาลาประจ าหมู่บ้านบ้านหาดสูง,767
5,420,8,ป่าพะยอม,บ้านพร้าว,7,ศาลาประจ าหมู่บ้านบ้านไสกล้วย,468
5,421,9,ป่าพะยอม,บ้านพร้าว,8,ศาลาประจ าหมู่บ้านบ้านหน้าป่า,833
5,422,10,ป่าพะยอม,บ้านพร้าว,9,ศาลาประจ าหมู่บ้านบ้านไผ่รอบ,810
5,423,11,ป่าพะยอม,บ้านพร้าว,10,ศาลาประจ าหมู่บ้านบ้านบ่อทรายใน,602
5,424,1,ป่าพะยอม,ลานข่อย,1,ศาลาประจ าหมู่บ้านบ้านลานข่อย,440
5,425,2,ป่าพะยอม,ลานข่อย,1,ศาลาการเปรียญวัดลานข่อย,580
