province,registrar,subdistrict,electorate,location,latitude,longitude,district,source_subdistrict_pdf,polling_unit_no,unit_index,moo,polling_place_pdf,registered_voters_66,pdf_sequence,pdf_page,unit_match_method,unit_match_score,unit_match_note
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านทุ่งลาน,7.734939400000001,100.0100936,ควนขนุน,ปันแต,11,10,11,ศาลาประจ าหมู่บ้านบ้านทุ่งลาน,473,374,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านหารเจ,7.791652699999999,99.9968167,ควนขนุน,ปันแต,12,11,12,ศาลาประจ าหมู่บ้านบ้านหารเจ,383,375,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านเขากลาง,7.762721,100.0576457,ควนขนุน,ปันแต,13,12,13,ศาลาประจ าหมู่บ้านบ้านเขากลาง,242,376,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านไสคำ,7.7160528,100.0191857,ควนขนุน,โตนดด้วน,1,0,1,ศาลาประจ าหมู่บ้านบ้านไสค า,322,299,2,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านโคกโดน,7.713701899999998,100.0255558,ควนขนุน,โตนดด้วน,2,1,2,ศาลาประจ าหมู่บ้านบ้านโคกโดน,751,300,2,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านหนองฟ้าผ่า,7.7243442,100.0433388,ควนขนุน,โตนดด้วน,3,2,3,ศาลาประจ าหมู่บ้านบ้านหนองฟ้าผ่า,299,301,2,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านป่าตอ,7.7285293,100.0221358,ควนขนุน,โตนดด้วน,4,3,4,ศาลาประจ าหมู่บ้านบ้านป่าตอ,291,302,2,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านวังจระเข้,7.7160528,100.0191857,ควนขนุน,โตนดด้วน,5,4,5,ศาลาประจ าหมู่บ้านบ้านวังจระเข้,668,303,2,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านหนักกุล,7.7160528,100.0191857,ควนขนุน,โตนดด้วน,6,5,6,ศาลาประจ าหมู่บ้านบ้านหนักกุล,262,304,2,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านโคกโพธิ์,7.691745399999999,100.0315103,ควนขนุน,โตนดด้วน,7,6,7,ศาลาประจ าหมู่บ้านบ้านโคกโพธิ์,822,305,2,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านไสโดน,7.7160528,100.0191857,ควนขนุน,โตนดด้วน,8,7,8,ศาลาประจ าหมู่บ้านบ้านไสโดน,436,306,2,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านโตนดด้วน หมู่ที่ 9,7.7160528,100.0191857,ควนขนุน,โตนดด้วน,9,8,9,ศาลาประจ าหมู่บ้านบ้านโตนดด้วน หมู่ที่ 9,516,307,2,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านตีนคลอง,7.7160528,100.0191857,ควนขนุน,โตนดด้วน,10,9,10,ศาลาประจ าหมู่บ้านบ้านตีนคลอง,325,308,2,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้าน หมู่ที่ 11 บ้านไสเหรียง,7.7160528,100.0191857,ควนขนุน,โตนดด้วน,11,10,11,ศาลาประจ าหมู่บ้าน หมู่ที่ 11 บ้านไสเหรียง,454,309,2,location_exact_normalized,1.0,
