district,subdistrict,unit_index,form_type,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง
ควนขนุน,ดอนทราย,10,partylist,264,252,10,2,1,0,0,0,2,0,0,0,0,23,0,151,1,0,1,0,0,3,0,0,0,0,0,0,36,0,0,1,8,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,1,0,2,0,5,0,1,0,3,0,0,0
ศรีบรรพต,ตะแพน,0,partylist,340,329,9,2,0,2,0,0,0,0,2,0,1,31,0,208,3,0,2,0,0,3,0,0,0,0,0,0,40,0,0,0,3,0,0,1,0,0,0,1,2,0,0,19,5,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0
ศรีบรรพต,ตะแพน,1,partylist,603,582,15,6,0,0,0,0,0,0,2,0,0,98,2,272,4,0,0,0,0,4,0,0,0,0,0,0,121,0,1,1,3,1,0,1,0,0,0,0,3,2,0,40,9,0,0,2,0,0,0,1,2,8,0,0,0,3,0,1,1
ศรีบรรพต,ตะแพน,2,partylist,335,323,4,8,0,0,0,1,1,0,0,0,0,55,2,208,3,0,0,0,0,8,0,0,0,0,0,0,15,0,0,1,1,0,0,0,0,0,0,0,1,0,2,15,2,2,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1
ศรีบรรพต,ตะแพน,3,partylist,144,143,1,0,0,0,0,0,0,0,1,0,0,24,0,86,1,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ศรีบรรพต,ตะแพน,4,partylist,549,522,18,9,0,5,0,1,0,1,3,0,0,111,0,297,5,0,1,0,1,6,0,0,0,0,0,0,40,0,1,1,3,2,1,0,0,0,0,0,2,1,1,20,5,1,0,0,1,0,0,1,2,7,0,0,0,2,0,0,0
ศรีบรรพต,ตะแพน,5,partylist,376,369,5,2,0,1,0,0,2,0,2,0,0,50,0,227,0,0,0,0,0,8,0,0,0,0,0,1,36,0,1,3,4,0,2,0,1,0,0,1,0,2,0,11,5,1,0,2,0,0,0,0,0,6,0,0,0,2,0,1,0
ศรีบรรพต,ตะแพน,6,partylist,614,602,6,6,0,0,0,0,0,0,1,0,0,65,0,435,3,1,1,0,2,5,0,0,0,0,0,0,46,2,1,1,4,0,1,1,0,0,0,0,2,0,2,16,5,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0
ศรีบรรพต,ตะแพน,7,partylist,343,336,5,2,0,2,0,0,1,0,1,1,0,32,1,202,5,0,0,0,0,1,0,0,0,0,0,0,42,0,0,0,0,0,1,0,1,0,0,0,1,3,4,28,1,2,0,0,0,0,0,1,2,3,0,0,0,0,1,0,0
ศรีบรรพต,ตะแพน,8,partylist,339,320,12,7,0,1,0,0,0,0,2,0,1,54,0,196,2,0,0,1,0,2,0,0,0,0,0,0,36,0,1,0,8,0,0,0,1,0,0,0,0,1,0,7,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0
ควนขนุน,ทะเลน้อย,0,partylist,614,578,30,6,0,2,0,1,1,0,4,0,0,56,0,287,6,0,2,0,1,10,1,0,0,2,1,0,110,1,1,2,4,1,1,0,2,0,0,0,6,1,1,59,2,1,0,0,0,0,0,0,0,7,0,0,0,2,0,2,1
ควนขนุน,ทะเลน้อย,1,partylist,330,314,12,4,0,0,0,0,3,0,0,0,0,46,0,130,0,0,0,0,0,4,1,0,0,0,1,0,98,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0,0,1,0,0,0,7,0,2,0,1,0,0,0
ควนขนุน,ทะเลน้อย,2,partylist,341,320,17,4,0,0,0,2,0,0,2,0,0,41,0,138,1,0,2,0,0,1,1,0,0,0,0,0,63,0,1,1,1,0,1,0,0,0,0,1,0,0,0,49,3,0,0,1,0,1,0,0,0,7,0,0,0,3,0,0,0
ควนขนุน,ทะเลน้อย,3,partylist,377,355,18,4,0,0,0,2,2,0,0,0,0,30,1,131,8,0,0,0,0,1,0,0,0,0,0,0,139,1,1,2,1,0,0,1,1,0,0,0,2,1,0,17,2,1,0,0,0,2,0,2,1,6,0,0,0,0,0,0,0
ควนขนุน,ทะเลน้อย,4,partylist,508,476,29,3,0,1,0,0,0,0,0,1,0,58,1,202,4,0,1,1,0,1,3,0,0,2,0,0,110,0,2,1,2,1,0,1,1,0,0,0,1,0,0,56,9,2,0,1,0,0,0,1,1,8,0,2,0,2,0,0,0
