province,registrar,subdistrict,electorate,location,latitude,longitude
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,ศาลาเอนกประสงค์โรงเรียนวัดบ้านสวน,7.734133699999999,100.0518935
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,ศาลาการเปรียญวัดบ้านสวน,7.7335541,100.051063
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,วัดมะกอกเหนือ,7.713126,100.086706
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,ศาลาประจำหมู่บ้านบ้านดอนศาลา,7.755263100000001,100.0397776
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,ที่อ่านหนังสือประจำหมู่บ้านบ้านไสเลียบ,7.7416636,100.0695367
พัทลุง,อำเภอควนขนุน,พนางตุง,2,ศาลาประจำหมู่บ้านบ้านทะเลน้อย,7.7777536,100.1167953
พัทลุง,อำเภอควนขนุน,พนางตุง,2,ศาลาประจำหมู่บ้าน หมู่ที่ 2 บ้านทะเลน้อย,7.7777536,100.1167953
พัทลุง,อำเภอควนขนุน,พนางตุง,2,โรงเรียนควนพนางตุง,7.777721799999999,100.1033782
พัทลุง,อำเภอควนขนุน,พนางตุง,2,ศาลาประจำหมู่บ้านบ้านชายคลอง,7.7346142,100.1285201
พัทลุง,อำเภอควนขนุน,พนางตุง,2,ศาลาประจำหมู่บ้านบ้านท่าช้าง,7.7462876,100.1069393
พัทลุง,อำเภอควนขนุน,พนางตุง,2,ศาลาประจำหมู่บ้านบ้านไสคลิ้ง,7.7615069,100.1367166
พัทลุง,อำเภอควนขนุน,พนางตุง,2,ศาลาประจำหมู่บ้านบ้านค่าย,7.767323999999999,100.08837
พัทลุง,อำเภอควนขนุน,พนางตุง,2,ที่ทำการกำนันตำบลพนางตุง,7.7801171,100.0898175
พัทลุง,อำเภอควนขนุน,พนางตุง,2,ศาลาประจำหมู่บ้านบ้านปากคลองเก่า,7.734145599999999,100.0256023
พัทลุง,อำเภอควนขนุน,พนางตุง,2,โรงเรียนบ้านธรรมเถียร,7.789683200000001,100.0953331
พัทลุง,อำเภอควนขนุน,พนางตุง,2,ศาลาประจำหมู่บ้านบ้านไทรงาม,7.7781796,100.118286
พัทลุง,อำเภอควนขนุน,พนางตุง,2,ศาลาเฉลิมพระเกียรติบ้านปากห้วย,7.7615069,100.1367166
พัทลุง,อำเภอควนขนุน,พนางตุง,2,ศาลาเอนกประสงค์ หมู่ที่ 13,7.7615069,100.1367166
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านชะมวง,7.3838149,100.2598974
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาการเปรียญวัดพิกุลทอง,7.7408104,99.9839132
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านศาลาตำเสา,7.7885424,99.9643809
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านหนักขัน,7.7419453,99.9723573
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านไสเตียน,7.753196000000001,99.9551971
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านค่ายไพออก,7.3838149,100.2598974
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านค่ายไพตก,7.3838149,100.2598974
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านไทรโกบ,7.7372374,99.973056
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านหัวถนน,7.736974900000001,99.9842367
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านปาบ,7.737530199999998,99.9891287
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านสามหนอง,7.771804299999999,99.9381744
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านศาลาม่วง,7.7427958,99.9646715
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านไสตอ,7.7851689,99.9546944
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านหยีใน,7.769434400000001,99.9700718
พัทลุง,อำเภอควนขนุน,ชะมวง,2,ศาลาประจำหมู่บ้านบ้านไสตอตก,7.7851689,99.9546944
พัทลุง,อำเภอควนขนุน,แพรกหา,2,ศาลาประจำหมู่บ้านบ้านม่วงเตี้ย,7.666126299999999,100.0230734
พัทลุง,อำเภอควนขนุน,แพรกหา,2,ศาลาประจำหมู่บ้านบ้านไสขาม,7.6506734,99.988483
พัทลุง,อำเภอควนขนุน,แพรกหา,2,ศาลาประจำหมู่บ้านบ้านแพรกหา,7.6503234,99.9875214
พัทลุง,อำเภอควนขนุน,แพรกหา,2,ศาลา อพป.บ้านเขาโต๊ะบุญ,7.6641667,100.0083333
พัทลุง,อำเภอควนขนุน,แพรกหา,2,ศาลาประจำหมู่บ้านบ้านเขาพังอิฐ,7.6511029,100.0082279
พัทลุง,อำเภอควนขนุน,แพรกหา,2,ศาลาประจำหมู่บ้านบ้านเขาป้าเจ้,7.6520326,100.0080005
พัทลุง,อำเภอควนขนุน,แพรกหา,2,ศาลาประจำหมู่บ้านบ้านไสหยี,7.6520326,100.0080005
พัทลุง,อำเภอควนขนุน,แพรกหา,2,ศาลาประจำหมู่บ้านบ้านควนน้อย,7.674832,100.003384
พัทลุง,อำเภอศรีบรรพต,เขาย่า,2,ศาลาประจำหมู่บ้าน บ้านสำนักปราง หมู่ที่ 1,7.728210699999999,99.9004167
พัทลุง,อำเภอศรีบรรพต,เขาย่า,2,ศาลาประจำหมู่บ้าน บ้านสะพานยาง หมู่ที่ 2,7.747962100000001,99.9157776
พัทลุง,อำเภอศรีบรรพต,เขาย่า,2,ศาลาประจำหมู่บ้าน บ้านม่วง หมู่ที่ 3,7.7458666,99.890643
พัทลุง,อำเภอศรีบรรพต,เขาย่า,2,ศาลาประจำหมู่บ้าน บ้านเขาย่าออก หมู่ที่ 4,7.7197137,99.9199675
พัทลุง,อำเภอศรีบรรพต,เขาย่า,2,ศาลาประจำหมู่บ้าน บ้านโหล๊ะเร็ดตกหมู่ที่ 5,7.7576419,99.9032094
พัทลุง,อำเภอศรีบรรพต,เขาย่า,2,ศาลาประจำหมู่บ้าน บ้านเขาย่าตก หมู่ที่ 6,7.710689700000001,99.9046058
พัทลุง,อำเภอศรีบรรพต,เขาย่า,2,ศาลาประจำหมู่บ้าน บ้านโพรงงู หมู่ที่ 7,7.729908200000001,99.8850586
พัทลุง,อำเภอศรีบรรพต,เขาย่า,2,ศาลาประจำหมู่บ้าน บ้านโหล๊ะเร็ดออก หมู่ที่ 8,7.776026099999999,99.9199675
พัทลุง,อำเภอศรีบรรพต,เขาย่า,2,ศาลาประจำหมู่บ้าน บ้านสำนักวา หมู่ที่ 9,7.7206497,99.8865912
พัทลุง,อำเภอศรีบรรพต,เขาย่า,2,ศาลาประจำหมู่บ้าน บ้านหูหนาน หมู่ที่ 10,7.737366799999999,99.9101915
พัทลุง,อำเภอศรีบรรพต,เขาปู่,2,ศาลาประจำหมู่บ้าน บ้านหน้าวัด หมู่ที่ 1,7.704519400000001,99.8236533
