pdf_page,pdf_sequence,district,source_subdistrict_pdf,polling_unit_no,unit_index,moo,polling_place_pdf,registered_voters_66,province,registrar,latlong_subdistrict,latlong_location,latitude,longitude,electorate,latlong_row_id,latlong_match_method,latlong_match_score,coordinate_reused_count,merge_key_subdistrict_unit
2,296,ควนขนุน,มะกอกเหนือ,8,7,7,วัดมะกอกเหนือ,510,พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,วัดมะกอกเหนือ,7.713126,100.086706,2,98,location_exact_normalized,1.0,1,มะกอกเหนือ|7
2,297,ควนขนุน,มะกอกเหนือ,9,8,8,ศาลาประจ าหมู่บ้านบ้านดอนศาลา,530,พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,ศาลาประจำหมู่บ้านบ้านดอนศาลา,7.755263100000001,100.0397776,2,99,location_exact_normalized,1.0,1,มะกอกเหนือ|8
2,298,ควนขนุน,มะกอกเหนือ,10,9,9,ที่อ่านหนังสือประจ าหมู่บ้านบ้านไสเลียบ,209,พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,ที่อ่านหนังสือประจำหมู่บ้านบ้านไสเลียบ,7.7416636,100.0695367,2,100,location_exact_normalized,1.0,1,มะกอกเหนือ|9
2,299,ควนขนุน,โตนดด้วน,1,0,1,ศาลาประจ าหมู่บ้านบ้านไสค า,322,พัทลุง,อำเภอควนขนุน,โตนดด้วน,ศาลาประจำหมู่บ้านบ้านไสคำ,7.7160528,100.0191857,2,69,location_exact_normalized,1.0,1,โตนดด้วน|0
2,300,ควนขนุน,โตนดด้วน,2,1,2,ศาลาประจ าหมู่บ้านบ้านโคกโดน,751,พัทลุง,อำเภอควนขนุน,โตนดด้วน,ศาลาประจำหมู่บ้านบ้านโคกโดน,7.713701899999998,100.0255558,2,70,location_exact_normalized,1.0,1,โตนดด้วน|1
2,301,ควนขนุน,โตนดด้วน,3,2,3,ศาลาประจ าหมู่บ้านบ้านหนองฟ้าผ่า,299,พัทลุง,อำเภอควนขนุน,โตนดด้วน,ศาลาประจำหมู่บ้านบ้านหนองฟ้าผ่า,7.7243442,100.0433388,2,71,location_exact_normalized,1.0,1,โตนดด้วน|2
2,302,ควนขนุน,โตนดด้วน,4,3,4,ศาลาประจ าหมู่บ้านบ้านป่าตอ,291,พัทลุง,อำเภอควนขนุน,โตนดด้วน,ศาลาประจำหมู่บ้านบ้านป่าตอ,7.7285293,100.0221358,2,72,location_exact_normalized,1.0,1,โตนดด้วน|3
2,303,ควนขนุน,โตนดด้วน,5,4,5,ศาลาประจ าหมู่บ้านบ้านวังจระเข้,668,พัทลุง,อำเภอควนขนุน,โตนดด้วน,ศาลาประจำหมู่บ้านบ้านวังจระเข้,7.7160528,100.0191857,2,73,location_exact_normalized,1.0,1,โตนดด้วน|4
2,304,ควนขนุน,โตนดด้วน,6,5,6,ศาลาประจ าหมู่บ้านบ้านหนักกุล,262,พัทลุง,อำเภอควนขนุน,โตนดด้วน,ศาลาประจำหมู่บ้านบ้านหนักกุล,7.7160528,100.0191857,2,74,location_exact_normalized,1.0,1,โตนดด้วน|5
2,305,ควนขนุน,โตนดด้วน,7,6,7,ศาลาประจ าหมู่บ้านบ้านโคกโพธิ์,822,พัทลุง,อำเภอควนขนุน,โตนดด้วน,ศาลาประจำหมู่บ้านบ้านโคกโพธิ์,7.691745399999999,100.0315103,2,75,location_exact_normalized,1.0,1,โตนดด้วน|6
2,306,ควนขนุน,โตนดด้วน,8,7,8,ศาลาประจ าหมู่บ้านบ้านไสโดน,436,พัทลุง,อำเภอควนขนุน,โตนดด้วน,ศาลาประจำหมู่บ้านบ้านไสโดน,7.7160528,100.0191857,2,76,location_exact_normalized,1.0,1,โตนดด้วน|7
2,307,ควนขนุน,โตนดด้วน,9,8,9,ศาลาประจ าหมู่บ้านบ้านโตนดด้วน หมู่ที่ 9,516,พัทลุง,อำเภอควนขนุน,โตนดด้วน,ศาลาประจำหมู่บ้านบ้านโตนดด้วน หมู่ที่ 9,7.7160528,100.0191857,2,77,location_exact_normalized,1.0,1,โตนดด้วน|8
2,308,ควนขนุน,โตนดด้วน,10,9,10,ศาลาประจ าหมู่บ้านบ้านตีนคลอง,325,พัทลุง,อำเภอควนขนุน,โตนดด้วน,ศาลาประจำหมู่บ้านบ้านตีนคลอง,7.7160528,100.0191857,2,78,location_exact_normalized,1.0,1,โตนดด้วน|9
2,309,ควนขนุน,โตนดด้วน,11,10,11,ศาลาประจ าหมู่บ้าน หมู่ที่ 11 บ้านไสเหรียง,454,พัทลุง,อำเภอควนขนุน,โตนดด้วน,ศาลาประจำหมู่บ้าน หมู่ที่ 11 บ้านไสเหรียง,7.7160528,100.0191857,2,79,location_exact_normalized,1.0,1,โตนดด้วน|10
2,310,ควนขนุน,ชะมวง,1,0,1,ศาลาประจ าหมู่บ้านบ้านชะมวง,715,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านชะมวง,7.3838149,100.2598974,2,114,location_exact_normalized,1.0,1,ชะมวง|0
2,311,ควนขนุน,ชะมวง,2,1,2|4,ศาลาการเปรียญวัดพิกุลทอง,257,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาการเปรียญวัดพิกุลทอง,7.7408104,99.9839132,2,115,location_exact_normalized,1.0,1,ชะมวง|1
2,312,ควนขนุน,ชะมวง,3,2,3,ศาลาประจ าหมู่บ้านบ้านศาลาต าเสา,646,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านศาลาตำเสา,7.7885424,99.9643809,2,116,location_exact_normalized,1.0,1,ชะมวง|2
